"Day","Jan.","Feb.","Mar.","Apr.","May","June","July","Aug.","Sep.","Oct.","Nov.","Dec."
"01","0.62","0.52","0.59","0.46","0.41","0.23","0.16","0.04","0.00","0.00","0.02","0.02"
"02","0.52","0.42","0.50","0.36","0.30","0.14","0.08","0.01","0.00","0.01","0.05","0.06"
"03","0.43","0.33","0.40","0.26","0.20","0.07","0.03","0.00","0.03","0.04","0.09","0.11"
"04","0.34","0.24","0.30","0.17","0.12","0.02","0.00","0.01","0.07","0.08","0.16","0.18"
"05","0.25","0.15","0.21","0.09","0.05","0.00","0.01","0.05","0.12","0.14","0.23","0.26"
"06","0.17","0.09","0.13","0.03","0.01","0.01","0.03","0.10","0.19","0.21","0.32","0.36"
"07","0.10","0.03","0.06","0.00","0.00","0.05","0.08","0.17","0.27","0.29","0.42","0.46"
"08","0.05","0.01","0.02","0.00","0.02","0.11","0.14","0.25","0.36","0.39","0.52","0.57"
"09","0.02","0.00","0.00","0.04","0.07","0.19","0.22","0.34","0.45","0.48","0.62","0.68"
"10","0.00","0.03","0.01","0.10","0.14","0.28","0.31","0.43","0.55","0.58","0.73","0.78"
"11","0.01","0.08","0.05","0.18","0.23","0.37","0.40","0.52","0.65","0.68","0.82","0.87"
"12","0.05","0.15","0.12","0.27","0.33","0.47","0.50","0.62","0.74","0.78","0.90","0.94"
"13","0.11","0.25","0.21","0.38","0.43","0.56","0.59","0.71","0.83","0.86","0.96","0.98"
"14","0.19","0.35","0.31","0.48","0.53","0.66","0.68","0.79","0.90","0.93","0.99","1.00"
"15","0.28","0.46","0.42","0.59","0.63","0.74","0.77","0.87","0.96","0.98","1.00","0.98"
"16","0.39","0.58","0.53","0.68","0.72","0.82","0.84","0.93","0.99","1.00","0.97","0.94"
"17","0.50","0.68","0.64","0.77","0.80","0.89","0.91","0.98","1.00","0.99","0.91","0.88"
"18","0.62","0.78","0.73","0.85","0.87","0.94","0.96","1.00","0.98","0.95","0.83","0.80"
"19","0.72","0.86","0.82","0.91","0.93","0.98","0.99","1.00","0.93","0.88","0.74","0.71"
"20","0.82","0.92","0.89","0.96","0.97","1.00","1.00","0.97","0.86","0.80","0.64","0.61"
"21","0.89","0.97","0.94","0.99","0.99","1.00","0.99","0.91","0.76","0.70","0.54","0.51"
"22","0.95","0.99","0.98","1.00","1.00","0.97","0.95","0.84","0.66","0.59","0.44","0.41"
"23","0.99","1.00","1.00","0.99","0.99","0.93","0.89","0.74","0.55","0.48","0.34","0.32"
"24","1.00","0.99","1.00","0.97","0.96","0.87","0.81","0.63","0.44","0.38","0.25","0.24"
"25","0.99","0.95","0.98","0.93","0.91","0.79","0.72","0.52","0.33","0.28","0.17","0.16"
"26","0.96","0.91","0.94","0.87","0.84","0.69","0.61","0.41","0.23","0.19","0.11","0.10"
"27","0.92","0.84","0.89","0.80","0.76","0.59","0.50","0.30","0.15","0.12","0.06","0.05"
"28","0.85","0.77","0.83","0.72","0.66","0.47","0.38","0.20","0.09","0.07","0.02","0.02"
"29","0.78","0.69","0.75","0.62","0.56","0.36","0.27","0.12","0.04","0.03","0.00","0.00"
"30","0.70","","0.66","0.52","0.45","0.25","0.18","0.06","0.01","0.01","0.00","0.01"
"31","0.61","","0.57","","0.34","","0.10","0.02","","0.00","","0.03"
